BDB_ID,연월,일자,요일,대여건수
BD001,202107,01,목,"138,855"
BD002,202107,02,금,"137,755"
BD003,202107,03,토,"51,624"
BD004,202107,04,일,"34,280"
BD005,202107,05,월,"137,012"
BD006,202107,06,화,"141,676"
BD007,202107,07,수,"120,685"
BD008,202107,08,목,"120,509"
BD009,202107,09,금,"133,467"
BD010,202107,10,토,"108,159"
BD011,202107,11,일,"83,832"
BD012,202107,12,월,"127,772"
BD013,202107,13,화,"127,633"
BD014,202107,14,수,"122,931"
BD015,202107,15,목,"103,482"
BD016,202107,16,금,"104,228"
BD017,202107,17,토,"104,910"
BD018,202107,18,일,"93,806"
BD019,202107,19,월,"95,132"
BD020,202107,20,화,"120,043"
BD021,202107,21,수,"117,569"
BD022,202107,22,목,"114,672"
BD023,202107,23,금,"113,117"
BD024,202107,24,토,"91,773"
BD025,202107,25,일,"80,957"
BD026,202107,26,월,"113,912"
BD027,202107,27,화,"113,813"
BD028,202107,28,수,"108,399"
BD029,202107,29,목,"111,818"
BD030,202107,30,금,"113,329"
BD031,202107,31,토,"90,356"
BD032,202108,01,일,"41,845"
BD033,202108,02,월,"99,544"
BD034,202108,03,화,"117,242"
BD035,202108,04,수,"117,405"
BD036,202108,05,목,"118,205"
BD037,202108,06,금,"117,103"
BD038,202108,07,토,"109,849"
BD039,202108,08,일,"74,145"
BD040,202108,09,월,"126,850"
BD041,202108,10,화,"130,505"
BD042,202108,11,수,"126,807"
BD043,202108,12,목,"105,295"
BD044,202108,13,금,"133,625"
BD045,202108,14,토,"126,122"
BD046,202108,15,일,"117,873"
BD047,202108,16,월,"114,058"
BD048,202108,17,화,"82,028"
BD049,202108,18,수,"118,076"
BD050,202108,19,목,"143,490"
BD051,202108,20,금,"137,294"
BD052,202108,21,토,"40,149"
BD053,202108,22,일,"119,042"
BD054,202108,23,월,"46,686"
BD055,202108,24,화,"40,740"
BD056,202108,25,수,"119,576"
BD057,202108,26,목,"120,865"
BD058,202108,27,금,"84,328"
BD059,202108,28,토,"132,238"
BD060,202108,29,일,"119,703"
BD061,202108,30,월,"140,368"
BD062,202108,31,화,"24,918"
BD063,202109,01,수,"120,894"
BD064,202109,02,목,"138,015"
BD065,202109,03,금,"152,417"
BD066,202109,04,토,"147,188"
BD067,202109,05,일,"137,477"
BD068,202109,06,월,"73,466"
BD069,202109,07,화,"14,591"
BD070,202109,08,수,"138,853"
BD071,202109,09,목,"144,735"
BD072,202109,10,금,"140,589"
BD073,202109,11,토,"135,402"
BD074,202109,12,일,"127,028"
BD075,202109,13,월,"141,744"
BD076,202109,14,화,"143,589"
BD077,202109,15,수,"145,669"
BD078,202109,16,목,"145,375"
BD079,202109,17,금,"149,248"
BD080,202109,18,토,"128,566"
BD081,202109,19,일,"112,630"
BD082,202109,20,월,"104,603"
BD083,202109,21,화,"77,695"
BD084,202109,22,수,"116,915"
BD085,202109,23,목,"145,809"
BD086,202109,24,금,"151,973"
BD087,202109,25,토,"143,617"
BD088,202109,26,일,"139,182"
BD089,202109,27,월,"126,623"
BD090,202109,28,화,"89,055"
BD091,202109,29,수,"57,781"
BD092,202109,30,목,"145,928"
BD093,202110,01,금,"138,491"
BD094,202110,02,토,"136,182"
BD095,202110,03,일,"135,425"
BD096,202110,04,월,"75,930"
BD097,202110,05,화,"119,181"
BD098,202110,06,수,"79,697"
BD099,202110,07,목,"116,818"
BD100,202110,08,금,"70,341"
BD101,202110,09,토,"122,751"
BD102,202110,10,일,"36,212"
BD103,202110,11,월,"122,066"
BD104,202110,12,화,"136,913"
BD105,202110,13,수,"146,363"
BD106,202110,14,목,"145,060"
BD107,202110,15,금,"128,018"
BD108,202110,16,토,"83,290"
BD109,202110,17,일,"69,495"
BD110,202110,18,월,"89,456"
BD111,202110,19,화,"105,129"
BD112,202110,20,수,"116,327"
BD113,202110,21,목,"116,401"
BD114,202110,22,금,"121,592"
BD115,202110,23,토,"107,272"
BD116,202110,24,일,"99,056"
BD117,202110,25,월,"116,265"
BD118,202110,26,화,"125,167"
BD119,202110,27,수,"123,048"
BD120,202110,28,목,"126,416"
BD121,202110,29,금,"129,282"
BD122,202110,30,토,"111,853"
BD123,202110,31,일,"96,432"
BD124,202111,01,월,"119,911"
BD125,202111,02,화,"128,186"
BD126,202111,03,수,"129,594"
BD127,202111,04,목,"123,993"
BD128,202111,05,금,"130,048"
BD129,202111,06,토,"118,833"
BD130,202111,07,일,"111,896"
BD131,202111,08,월,"18,569"
BD132,202111,09,화,"38,917"
BD133,202111,10,수,"82,413"
BD134,202111,11,목,"93,961"
BD135,202111,12,금,"93,366"
BD136,202111,13,토,"89,598"
BD137,202111,14,일,"88,655"
BD138,202111,15,월,"107,707"
BD139,202111,16,화,"108,002"
BD140,202111,17,수,"108,450"
BD141,202111,18,목,"105,793"
BD142,202111,19,금,"113,731"
BD143,202111,20,토,"87,061"
BD144,202111,21,일,"65,968"
BD145,202111,22,월,"72,570"
BD146,202111,23,화,"73,003"
BD147,202111,24,수,"87,852"
BD148,202111,25,목,"91,716"
BD149,202111,26,금,"85,807"
BD150,202111,27,토,"71,353"
BD151,202111,28,일,"66,888"
BD152,202111,29,월,"94,863"
BD153,202111,30,화,"28,587"
BD154,202112,01,수,"62,785"
BD155,202112,02,목,"65,547"
BD156,202112,03,금,"70,087"
BD157,202112,04,토,"59,475"
BD158,202112,05,일,"58,055"
BD159,202112,06,월,"84,020"
BD160,202112,07,화,"89,379"
BD161,202112,08,수,"90,993"
BD162,202112,09,목,"88,633"
BD163,202112,10,금,"73,232"
BD164,202112,11,토,"69,787"
BD165,202112,12,일,"46,233"
BD166,202112,13,월,"62,218"
BD167,202112,14,화,"56,280"
BD168,202112,15,수,"67,884"
BD169,202112,16,목,"80,657"
BD170,202112,17,금,"48,342"
BD171,202112,18,토,"23,784"
BD172,202112,19,일,"19,804"
BD173,202112,20,월,"63,330"
BD174,202112,21,화,"71,556"
BD175,202112,22,수,"73,644"
BD176,202112,23,목,"75,058"
BD177,202112,24,금,"55,216"
BD178,202112,25,토,"18,859"
BD179,202112,26,일,"16,485"
BD180,202112,27,월,"42,521"
BD181,202112,28,화,"51,268"
BD182,202112,29,수,"52,017"
BD183,202112,30,목,"48,993"
BD184,202112,31,금,"40,604"
BD185,202201,01,토,"29,185"
BD186,202201,02,일,"28,914"
BD187,202201,03,월,"53,573"
BD188,202201,04,화,"56,344"
BD189,202201,05,수,"57,413"
BD190,202201,06,목,"59,714"
BD191,202201,07,금,"60,422"
BD192,202201,08,토,"45,366"
BD193,202201,09,일,"38,304"
BD194,202201,10,월,"58,706"
BD195,202201,11,화,"39,715"
BD196,202201,12,수,"45,304"
BD197,202201,13,목,"43,881"
BD198,202201,14,금,"50,087"
BD199,202201,15,토,"41,820"
BD200,202201,16,일,"32,433"
BD201,202201,17,월,"36,605"
BD202,202201,18,화,"46,018"
BD203,202201,19,수,"27,105"
BD204,202201,20,목,"41,568"
BD205,202201,21,금,"51,219"
BD206,202201,22,토,"44,304"
BD207,202201,23,일,"41,704"
BD208,202201,24,월,"63,894"
BD209,202201,25,화,"47,991"
BD210,202201,26,수,"63,246"
BD211,202201,27,목,"59,413"
BD212,202201,28,금,"56,150"
BD213,202201,29,토,"38,024"
BD214,202201,30,일,"31,891"
BD215,202201,31,월,"29,553"
BD216,202202,01,화,"14,212"
BD217,202202,02,수,"28,743"
BD218,202202,03,목,"46,840"
BD219,202202,04,금,"45,787"
BD220,202202,05,토,"31,339"
BD221,202202,06,일,"31,079"
BD222,202202,07,월,"52,453"
BD223,202202,08,화,"58,927"
BD224,202202,09,수,"62,895"
BD225,202202,10,목,"64,927"
BD226,202202,11,금,"67,004"
BD227,202202,12,토,"58,539"
BD228,202202,13,일,"52,389"
BD229,202202,14,월,"46,767"
BD230,202202,15,화,"47,756"
BD231,202202,16,수,"42,522"
BD232,202202,17,목,"46,195"
BD233,202202,18,금,"56,957"
BD234,202202,19,토,"39,653"
BD235,202202,20,일,"30,847"
BD236,202202,21,월,"48,680"
BD237,202202,22,화,"48,398"
BD238,202202,23,수,"47,234"
BD239,202202,24,목,"53,734"
BD240,202202,25,금,"61,573"
BD241,202202,26,토,"38,403"
BD242,202202,27,일,"52,957"
BD243,202202,28,월,"72,542"
BD244,202203,01,화,"49,748"
BD245,202203,02,수,"70,625"
BD246,202203,03,목,"77,700"
BD247,202203,04,금,"72,968"
BD248,202203,05,토,"55,988"
BD249,202203,06,일,"53,875"
BD250,202203,07,월,"72,078"
BD251,202203,08,화,"81,170"
BD252,202203,09,수,"88,625"
BD253,202203,10,목,"86,435"
BD254,202203,11,금,"97,284"
BD255,202203,12,토,"80,704"
BD256,202203,13,일,"37,571"
BD257,202203,14,월,"48,377"
BD258,202203,15,화,"90,277"
BD259,202203,16,수,"98,151"
BD260,202203,17,목,"76,285"
BD261,202203,18,금,"77,855"
BD262,202203,19,토,"33,486"
BD263,202203,20,일,"67,396"
BD264,202203,21,월,"84,756"
BD265,202203,22,화,"96,050"
BD266,202203,23,수,"86,793"
BD267,202203,24,목,"94,936"
BD268,202203,25,금,"80,415"
BD269,202203,26,토,"61,907"
BD270,202203,27,일,"86,816"
BD271,202203,28,월,"104,291"
BD272,202203,29,화,"112,845"
BD273,202203,30,수,"87,831"
BD274,202203,31,목,"110,528"
BD275,202204,01,금,"117,334"
BD276,202204,02,토,"107,302"
BD277,202204,03,일,"111,356"
BD278,202204,04,월,"117,648"
BD279,202204,05,화,"122,858"
BD280,202204,06,수,"127,811"
BD281,202204,07,목,"126,797"
BD282,202204,08,금,"143,545"
BD283,202204,09,토,"148,007"
BD284,202204,10,일,"150,889"
BD285,202204,11,월,"151,754"
BD286,202204,12,화,"119,002"
BD287,202204,13,수,"92,089"
BD288,202204,14,목,"122,654"
BD289,202204,15,금,"141,286"
BD290,202204,16,토,"134,241"
BD291,202204,17,일,"129,927"
BD292,202204,18,월,"139,226"
BD293,202204,19,화,"144,447"
BD294,202204,20,수,"148,079"
BD295,202204,21,목,"149,044"
BD296,202204,22,금,"129,271"
BD297,202204,23,토,"146,570"
BD298,202204,24,일,"133,084"
BD299,202204,25,월,"129,831"
BD300,202204,26,화,"152,367"
BD301,202204,27,수,"156,150"
BD302,202204,28,목,"157,045"
BD303,202204,29,금,"115,321"
BD304,202204,30,토,"125,572"
BD305,202205,01,일,"123,804"
BD306,202205,02,월,"155,868"
BD307,202205,03,화,"161,630"
BD308,202205,04,수,"169,370"
BD309,202205,05,목,"161,574"
BD310,202205,06,금,"167,589"
BD311,202205,07,토,"143,370"
BD312,202205,08,일,"83,449"
BD313,202205,09,월,"165,624"
BD314,202205,10,화,"171,961"
BD315,202205,11,수,"172,189"
BD316,202205,12,목,"173,717"
BD317,202205,13,금,"173,872"
BD318,202205,14,토,"147,975"
BD319,202205,15,일,"146,364"
BD320,202205,16,월,"170,018"
BD321,202205,17,화,"174,664"
BD322,202205,18,수,"147,831"
BD323,202205,19,목,"171,349"
BD324,202205,20,금,"177,475"
BD325,202205,21,토,"158,972"
BD326,202205,22,일,"149,211"
BD327,202205,23,월,"169,251"
BD328,202205,24,화,"176,941"
BD329,202205,25,수,"134,187"
BD330,202205,26,목,"172,688"
BD331,202205,27,금,"183,674"
BD332,202205,28,토,"164,366"
BD333,202205,29,일,"148,794"
BD334,202205,30,월,"161,538"
BD335,202205,31,화,"183,522"
BD336,202206,01,수,"171,655"
BD337,202206,02,목,"177,588"
BD338,202206,03,금,"180,769"
BD339,202206,04,토,"157,500"
BD340,202206,05,일,"126,415"
BD341,202206,06,월,"136,660"
BD342,202206,07,화,"179,409"
BD343,202206,08,수,"182,892"
BD344,202206,09,목,"150,820"
BD345,202206,10,금,"155,223"
BD346,202206,11,토,"160,120"
BD347,202206,12,일,"143,466"
BD348,202206,13,월,"169,956"
BD349,202206,14,화,"166,700"
BD350,202206,15,수,"73,488"
BD351,202206,16,목,"159,975"
BD352,202206,17,금,"181,393"
BD353,202206,18,토,"153,139"
BD354,202206,19,일,"143,464"
BD355,202206,20,월,"181,066"
BD356,202206,21,화,"178,590"
BD357,202206,22,수,"182,183"
BD358,202206,23,목,"54,576"
BD359,202206,24,금,"152,178"
BD360,202206,25,토,"146,769"
BD361,202206,26,일,"122,474"
BD362,202206,27,월,"94,761"
BD363,202206,28,화,"112,003"
BD364,202206,29,수,"52,664"
BD365,202206,30,목,"8,796"
